wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-05-31,2023-06-14,-82,100,46.8,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-01,2023-06-15,-78,100,46.8,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-02,2023-06-16,-78,100,46.8,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-03,2023-06-17,-78,100,46.8,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-04,2023-06-18,-78,100,46.8,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-05,2023-06-19,-28,100,37.4,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-06,2023-06-20,8,100,37.4,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-07,2023-06-21,2,100,29.4,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-08,2023-06-22,128,100,29.4,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-09,2023-06-23,128,100,29.4,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-10,2023-06-24,128,100,29.4,no,2023-05-15
Nebraska,925,Nebraska,Treatment plant,,NWSS_ne_925_Treatment plant_raw wastewater,Lancaster,31109,200000,2023-06-11,2023-06-25,128,100,29.4,no,2023-05-15
