wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-01,2023-06-15,-88,100,55.2,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-02,2023-06-16,-88,100,55.2,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-03,2023-06-17,-88,100,55.2,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-04,2023-06-18,-88,100,55.2,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-05,2023-06-19,-75,100,38.8,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-06,2023-06-20,-61,100,38.8,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-07,2023-06-21,-37,100,25.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-08,2023-06-22,24,100,25.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-09,2023-06-23,24,100,25.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-10,2023-06-24,24,100,25.0,no,2023-05-15
Nebraska,923,Nebraska,Treatment plant,,NWSS_ne_923_Treatment plant_raw wastewater,"Sarpy,Douglas","31055,31153",600000,2023-06-11,2023-06-25,24,100,25.0,no,2023-05-15
